,experiment,dim,num_of_samples,prox_pt_time,sgd_time,sgd_batch_size
889,16,3000,1000,5.045573180000019,0.05110163699998793,16
890,16,3000,1000,4.8409980859999,0.041610677999983636,32
891,16,3000,2000,10.03207199499991,1.2944243089999645,1
892,16,3000,2000,10.10712594100005,0.11694062199990185,16
893,16,3000,2000,10.192527542999983,0.07873553700005687,32
894,16,3000,2500,13.148203671000033,1.7716960770000014,1
895,16,3000,2500,13.069846898000037,0.157944026999985,16
896,16,3000,2500,13.075655084999994,0.10008766700002525,32
897,16,3000,3000,15.590523743999938,1.793036073000053,1
898,16,3000,3000,15.559674879,0.17322727900000245,16
899,16,3000,3000,15.711493431999997,0.10409644999992906,32
900,16,6000,500,2.7612119220000295,0.3436908049999374,1
901,16,6000,500,2.7617283339999403,0.03075213599993276,16
902,16,6000,500,2.79441065900005,0.022317932999953882,32
903,16,6000,1000,5.119194038999922,0.6806388480000578,1
904,16,6000,1000,5.09712308099995,0.05936041700010719,16
905,16,6000,1000,5.115883628000006,0.03876089300001695,32
906,16,6000,1000,5.15788153699998,0.7871836269999903,1
907,16,6000,1000,5.2862212600000476,0.0738981289999856,16
908,16,6000,1000,5.519730995000032,0.04751007400000162,32
909,16,6000,2000,10.456711997999946,1.1185288610000725,1
910,16,6000,2000,10.13245565200009,0.10747541800003546,16
911,16,6000,2000,9.822193287999994,0.05903635699996812,32
912,16,6000,2500,11.13326238000002,1.0286181320000196,1
913,16,6000,2500,11.114981263000004,0.10431840800004011,16
914,16,6000,2500,10.951638504000016,0.06631068500007586,32
915,16,6000,3000,12.327234321999981,1.1855661150000287,1
916,16,6000,3000,11.87719052400007,0.11251778799999101,16
917,16,6000,3000,11.411787133999951,0.07426823499997681,32
918,17,1000,500,2.88018368500002,0.34288062699999955,1
919,17,1000,500,2.853481613999975,0.029983990999994603,16
920,17,1000,500,2.868778392999957,0.021474124000064876,32
921,17,1000,1000,5.717821800000024,0.839258839000081,1
922,17,1000,1000,5.815339059999928,0.07305201700000907,16
923,17,1000,1000,5.818970828000033,0.036184712000022046,32
924,17,1000,1000,5.788480852000021,0.8422078359999432,1
925,17,1000,1000,5.7425938400000405,0.06405580299997382,16
926,17,1000,1000,5.79220999100005,0.04452318899996044,32
927,17,1000,2000,10.797435675999964,1.2513518640000711,1
928,17,1000,2000,10.889944462000017,0.10836578099997496,16
929,17,1000,2000,10.77873779999993,0.06527213200001825,32
930,17,1000,2500,13.176976097999955,1.5927355080000325,1
931,17,1000,2500,13.380704657000024,0.1329626819999703,16
932,17,1000,2500,13.182030536999946,0.08169423099991491,32
933,17,1000,3000,15.708941777000064,2.1618081359999906,1
934,17,1000,3000,15.486221605999958,0.20640021300005174,16
935,17,1000,3000,15.569027259999984,0.12590307300001768,32
936,17,3000,500,3.0379011820000414,0.40003447700007655,1
937,17,3000,500,2.770257867000055,0.032522330999995575,16
938,17,3000,500,2.7557283279999183,0.01720279100004518,32
939,17,3000,1000,5.158958636999955,0.6532034939999676,1
940,17,3000,1000,5.169761175999952,0.05669503000001441,16
941,17,3000,1000,5.04487363599992,0.03544089799993344,32
