,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time
366,5,1000,20000,Least squares,0.6171156349999478,0.1618703420000429
367,5,1000,20000,Logistic regression,1.3309790510000425,0.1715587549999782
368,5,1000,25000,Least squares,0.7667324239999971,0.2081165000000169
369,5,1000,25000,Logistic regression,1.6596649659999798,0.213744652999992
370,5,1000,30000,Least squares,0.9379920229999925,0.24242944999997462
371,5,1000,30000,Logistic regression,1.9910141330000215,0.26085862400003634
372,5,2000,5000,Least squares,0.15751740600001085,0.04488133500001368
373,5,2000,5000,Logistic regression,0.3359832350000147,0.046712577999983296
374,5,2000,10000,Least squares,0.31968435099997805,0.08865216399999554
375,5,2000,10000,Logistic regression,0.6674670429999878,0.09680093800000122
376,5,2000,15000,Least squares,0.47506190000001425,0.13372172999999066
377,5,2000,15000,Logistic regression,1.009671457999957,0.14005791200008844
378,5,2000,20000,Least squares,0.6446577469999966,0.1840371559999312
379,5,2000,20000,Logistic regression,1.362228400000049,0.1847470830000475
380,5,2000,25000,Least squares,0.8107110150000381,0.22134334199995465
381,5,2000,25000,Logistic regression,1.6969455429999698,0.23332525800003623
382,5,2000,30000,Least squares,0.9701388440000756,0.2725772889999689
383,5,2000,30000,Logistic regression,2.0454265360000363,0.28642306999995526
384,5,3000,5000,Least squares,0.1638908420000007,0.04701596600000357
385,5,3000,5000,Logistic regression,0.3390234219999684,0.0490328230000614
386,5,3000,10000,Least squares,0.33299152000006416,0.09348264899995229
387,5,3000,10000,Logistic regression,0.6866702009999699,0.0986271230000284
388,5,3000,15000,Least squares,0.502225564000014,0.1447487049999836
389,5,3000,15000,Logistic regression,1.0702600439999514,0.16860149500007537
390,5,3000,20000,Least squares,0.7537239890000365,0.20894272900000033
391,5,3000,20000,Logistic regression,1.6446829669999943,0.2237158200000522
392,5,3000,25000,Least squares,0.8487959550000141,0.2432384500000353
393,5,3000,25000,Logistic regression,1.7572264730000597,0.250580305000085
394,5,3000,30000,Least squares,0.9936964769999577,0.30775051700004497
395,5,3000,30000,Logistic regression,2.2165463030000865,0.3913016049999669
396,5,4000,5000,Least squares,0.19441122600005656,0.057665350000092985
397,5,4000,5000,Logistic regression,0.3780015419999927,0.05285892799997782
398,5,4000,10000,Least squares,0.4039284259999931,0.10143324900002426
399,5,4000,10000,Logistic regression,0.7674524569999903,0.1074164120000205
400,5,4000,15000,Least squares,0.5856066210000108,0.15008344900002157
401,5,4000,15000,Logistic regression,1.0777153600000702,0.16773173199999292
402,5,4000,20000,Least squares,0.7392059179999251,0.20553481299998566
403,5,4000,20000,Logistic regression,1.5309909439999956,0.20631373899993832
404,5,4000,25000,Least squares,0.9429465700000037,0.2818407569999408
405,5,4000,25000,Logistic regression,1.9225310550000358,0.2648418029999675
406,5,4000,30000,Least squares,1.039923554999973,0.2949239030000399
407,5,4000,30000,Logistic regression,2.1411954689999675,0.3158744460000662
408,5,5000,5000,Least squares,0.17855440099992848,0.052148421000083545
